order_date,product_category,avg_discount_percent,baseline_mean,baseline_std,z_score,gross_revenue,estimated_leakage_usd,severity
2022-10-31,Fashion,21.363636363636363,13.326624849714516,2.980485834205134,2.696544107570046,11617.4,933.6917756183567,medium
2023-03-06,Beauty,23.571428571428573,13.428764966777157,3.1520091978597713,3.217840738389447,7999.17,811.3289042641946,medium
2022-12-10,Electronics,22.22222222222222,13.250704894073463,3.08421342804622,2.908851004462429,8991.28,806.6542432223737,medium
2022-02-15,Fashion,22.0,13.326624849714516,2.980485834205134,2.910054143102004,9143.58,793.0569955664735,medium
2022-06-08,Electronics,21.818181818181817,13.250704894073463,3.08421342804622,2.777848266335984,9056.21,775.8887019487931,medium
2023-03-13,Books,21.153846153846153,13.351658913668368,2.9782472504412074,2.6197244835941484,9546.24,744.8155191967478,medium
2022-07-02,Books,21.11111111111111,13.351658913668368,2.9782472504412074,2.6053754255269546,9298.6,721.5204220314109,medium
2022-02-04,Beauty,23.846153846153847,13.428764966777157,3.1520091978597713,3.304999517910717,6594.68,686.9934609504787,medium
2023-03-12,Home & Kitchen,21.363636363636363,13.384403543593924,3.064613314311876,2.60366708673459,8448.21,674.1023450261073,medium
2022-12-13,Beauty,24.444444444444443,13.428764966777157,3.1520091978597713,3.4948119710903707,5674.570000000001,625.0924429358646,medium
2023-03-25,Home & Kitchen,22.5,13.384403543593924,3.064613314311876,2.974468724597602,6740.38,614.4258404283039,medium
2023-09-18,Fashion,21.666666666666668,13.326624849714516,2.980485834205134,2.798215553061455,6903.9,575.7881470005595,medium
2023-06-02,Beauty,22.5,13.428764966777157,3.1520091978597713,2.877921498256494,6340.96,575.2033849626472,medium
2023-12-19,Fashion,22.5,13.326624849714516,2.980485834205134,3.0778120281628283,6203.33,569.0547327102046,medium
2023-07-18,Home & Kitchen,21.25,13.384403543593924,3.064613314311876,2.566586922948289,6341.86,498.8251154302343,medium
2022-06-11,Fashion,21.923076923076923,13.326624849714516,2.980485834205134,2.8842452377080314,5550.9,477.1804581402738,medium
2022-08-29,Sports,22.142857142857142,13.377014141556534,3.032696138566012,2.8904455312313195,5342.28,468.29587748988206,medium
2022-06-01,Beauty,21.428571428571427,13.428764966777157,3.1520091978597713,2.538002258123541,5584.7300000000005,446.76759141376317,medium
2023-05-11,Fashion,22.5,13.326624849714516,2.980485834205134,3.0778120281628283,4779.0,438.3955984321433,medium
2022-09-09,Sports,21.11111111111111,13.377014141556534,3.032696138566012,2.5502380113859964,5603.56,433.38476414717246,medium
2022-10-02,Beauty,21.875,13.428764966777157,3.1520091978597713,2.6796352748456047,4965.85,419.4273623972966,medium
2023-01-18,Fashion,23.571428571428573,13.326624849714516,2.980485834205134,3.437293210436024,3912.26,400.8033580831304,medium
2023-11-28,Fashion,21.0,13.326624849714516,2.980485834205134,2.5745383729803555,4492.59,344.7332846642106,medium
2023-12-30,Fashion,21.875,13.326624849714516,2.980485834205134,2.868114671836798,3930.12,335.96140145639987,medium
2022-10-15,Fashion,20.833333333333332,13.326624849714516,2.980485834205134,2.5186190779600803,4448.15,333.9096534140903,medium
2023-12-10,Sports,22.0,13.377014141556534,3.032696138566012,2.8433398746373517,3535.0699999999997,304.8285861860774,medium
2022-10-26,Electronics,21.666666666666668,13.250704894073463,3.08421342804622,2.728722239538568,3458.08,291.0306908656911,medium
2023-02-21,Home & Kitchen,22.0,13.384403543593924,3.064613314311876,2.811316003937877,3335.04,287.3335880597252,medium
2023-01-07,Fashion,21.666666666666668,13.326624849714516,2.980485834205134,2.798215553061455,3415.84,284.8824844001784,medium
2022-10-13,Books,21.666666666666668,13.351658913668368,2.9782472504412074,2.7919131804004813,3390.72,281.9386308824639,medium
2022-11-24,Home & Kitchen,24.0,13.384403543593924,3.064613314311876,3.463926886576777,2358.5099999999998,250.3699039839829,medium
2022-03-01,Fashion,22.5,13.326624849714516,2.980485834205134,3.0778120281628283,2426.59,222.60020405931255,medium
2023-02-12,Beauty,22.5,13.428764966777157,3.1520091978597713,2.877921498256494,2397.11,217.44748210488808,medium
2023-08-09,Electronics,22.0,13.250704894073463,3.08421342804622,2.8367994984928844,1091.01,95.45568453516911,medium
2023-06-25,Electronics,25.625,13.250704894073463,3.08421342804622,4.012139689621083,8480.12,1049.3550741366976,high
2022-10-04,Beauty,27.5,13.428764966777157,3.1520091978597713,4.464211285543607,5875.5,826.7554143770082,high
2023-01-08,Fashion,25.0,13.326624849714516,2.980485834205134,3.91660145346695,6058.74,707.2594495804067,high
2023-12-18,Home & Kitchen,26.666666666666668,13.384403543593924,3.064613314311876,4.3340747300953115,5292.719999999999,702.9929967674956,high
2023-09-28,Home & Kitchen,30.0,13.384403543593924,3.064613314311876,5.421759534493479,2094.05,347.93889759537143,critical
