month_end,revenue,orders,units,avg_order_value,revenue_growth_rate,momentum
2022-01-01,1419751.615,2151,6498,660.0425918177592,0.0,Stable
2022-02-01,1266714.5705,1899,5662,667.0429544497104,-0.10779142131843966,Declining
2022-03-01,1392585.783,2155,6455,646.2115002320186,0.09936825187880793,Accelerating
2022-04-01,1371955.7945,2089,6178,656.7524147917665,-0.014814159925974235,Stable
2022-05-01,1374779.676,2073,6235,663.1836353111432,0.0020582889851994413,Stable
2022-06-01,1352126.1425,2044,6143,661.5098544520548,-0.016477937443701296,Stable
2022-07-01,1346089.0025,2093,6245,643.1385582895365,-0.004464923656337105,Stable
2022-08-01,1449308.3795,2189,6479,662.0869709913203,0.07668094517398005,Stable
2022-09-01,1403967.501,2100,6385,668.5559528571429,-0.03128449344620665,Stable
2022-10-01,1334818.2445,2060,6207,647.9700216019418,-0.04925274726854234,Stable
2022-11-01,1291100.0785,2000,6078,645.55003925,-0.03275214897618972,Stable
2022-12-01,1386210.518,2073,6173,668.6977896767969,0.07366620224398024,Stable
2023-01-01,1464175.253,2187,6749,669.490284865112,0.05624306985672445,Stable
2023-02-01,1238381.0389999999,1867,5590,663.299967327263,-0.1542125599632711,Declining
2023-03-01,1366418.668,2098,6233,651.2958379408961,0.10339114131090965,Accelerating
2023-04-01,1307018.802,1997,5981,654.4911377065598,-0.043471204976248234,Stable
2023-05-01,1431398.7935,2154,6477,664.5305448003713,0.09516312336874866,Accelerating
2023-06-01,1394821.5475,2132,6320,654.231495075047,-0.02555349785545269,Stable
2023-07-01,1442177.413,2216,6671,650.8020816787003,0.03395120012655228,Stable
2023-08-01,1396321.922,2162,6479,645.8473274745606,-0.03179601246466057,Stable
2023-09-01,1341008.501,2033,6095,659.6205120511559,-0.03961365937789818,Stable
2023-10-01,1425936.085,2159,6441,660.461364057434,0.06333113021779413,Stable
2023-11-01,1334328.6085,2006,6104,665.1687978564307,-0.06424374659120846,Declining
2023-12-01,1335185.598,2063,6092,647.2058158022297,0.0006422627039102125,Stable
